planning_horizon,technology,parameter,value,unit,source,further_description
all,digestible biomass,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,digestible biomass to hydrogen,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,direct air capture,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,direct firing gas,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,direct firing gas CC,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,direct firing solid fuels,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,direct firing solid fuels CC,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,dry bulk carrier Capesize,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,electric arc furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electric arc furnace with hbi and scrap,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electric boiler steam,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electric steam cracker,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,electricity distribution grid,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,electricity grid connection,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,electrobiofuels,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,electrolysis,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,electrolysis small,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,ethanol carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,ethanol from starch crop,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,ethanol from sugar crops,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,fuel cell,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,fuelwood,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,gas,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,gas boiler steam,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,gas storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,gas storage charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,gas storage discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,geothermal,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,grey methanol synthesis,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,helmeth,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,home battery inverter,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,home battery storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,hydro,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,hydrogen direct iron reduction furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,hydrogen storage compressor,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,hydrogen storage tank type 1,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,hydrogen storage tank type 1 including compressor,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,hydrogen storage underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,industrial heat pump high temperature,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,industrial heat pump medium temperature,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,iron ore DRI-ready,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,iron-air battery,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,iron-air battery charge,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,iron-air battery discharge,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,lignite,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,methanation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,methane storage tank incl. compressor,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,methanol,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,methanol-to-kerosene,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,methanol-to-olefins/aromatics,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,methanolisation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,micro CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,natural gas direct iron reduction furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,nuclear,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,nuclear retrofit,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-ac-connection-submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-ac-connection-underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-ac-station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-dc-connection-submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-dc-connection-underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-dc-station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-float,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-float-connection-submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-float-connection-underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,offwind-float-station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
