scenario,mode,year,share,units_kveh
Current commitments - Low Flex,V1H,2035,0.52,1740.0
Current commitments - Low Flex,V1H,2036,0.54,1910.0
Current commitments - Low Flex,V2H,2023,0.0,0.0
Current commitments - Low Flex,V2H,2024,0.0,0.0
Current commitments - Low Flex,V2H,2025,0.0,0.0
Current commitments - Low Flex,V2H,2026,0.0,0.0
Current commitments - Low Flex,V2H,2027,0.0,0.0
Current commitments - Low Flex,V2H,2028,0.0,0.0
Current commitments - Low Flex,V2H,2029,0.01,10.0
Current commitments - Low Flex,V2H,2030,0.0,10.0
Current commitments - Low Flex,V2H,2031,0.01,20.0
Current commitments - Low Flex,V2H,2032,0.01,20.0
Current commitments - Low Flex,V2H,2033,0.01,30.0
Current commitments - Low Flex,V2H,2034,0.01,40.0
Current commitments - Low Flex,V2H,2035,0.01,50.0
Current commitments - Low Flex,V2H,2036,0.01,50.0
Current commitments - Low Flex,V1M,2023,0.005,0.0
Current commitments - Low Flex,V1M,2024,0.01,0.0
Current commitments - Low Flex,V1M,2025,0.01,10.0
Current commitments - Low Flex,V1M,2026,0.01,10.0
Current commitments - Low Flex,V1M,2027,0.01,10.0
Current commitments - Low Flex,V1M,2028,0.01,10.0
Current commitments - Low Flex,V1M,2029,0.02,30.0
Current commitments - Low Flex,V1M,2030,0.02,50.0
Current commitments - Low Flex,V1M,2031,0.04,90.0
Current commitments - Low Flex,V1M,2032,0.05,130.0
Current commitments - Low Flex,V1M,2033,0.06,170.0
Current commitments - Low Flex,V1M,2034,0.06,200.0
Current commitments - Low Flex,V1M,2035,0.06,210.0
Current commitments - Low Flex,V1M,2036,0.06,220.0
Current commitments - Low Flex,V2M,2023,0.0,0.0
Current commitments - Low Flex,V2M,2024,0.0,0.0
Current commitments - Low Flex,V2M,2025,0.0,0.0
Current commitments - Low Flex,V2M,2026,0.0,0.0
Current commitments - Low Flex,V2M,2027,0.0,0.0
Current commitments - Low Flex,V2M,2028,0.0,0.0
Current commitments - Low Flex,V2M,2029,0.0,0.0
Current commitments - Low Flex,V2M,2030,0.0,0.0
Current commitments - Low Flex,V2M,2031,0.0,0.0
Current commitments - Low Flex,V2M,2032,0.0,10.0
Current commitments - Low Flex,V2M,2033,0.0,10.0
Current commitments - Low Flex,V2M,2034,0.0,10.0
Current commitments - Low Flex,V2M,2035,0.0,10.0
Current commitments - Low Flex,V2M,2036,0.0,10.0
