scenario,turbine,region,density_case,capacity_density_mw_km2,eligible_area_km2,p_nom_max_mw,flh_h,mean_capacity_factor,cf_area_weighted,energy_twh,n_turbines,scenario_title,turbine_label
S2_setbacks,T185_NREL4,model,derived,5.079,1309.4,6650.0,3242.0,0.3701,0.3683,21.564,1663,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 4.0 MW (tip 185 m)
S3_nature,T185_NREL4,model,derived,5.079,1122.89,5703.0,3250.0,0.371,0.3693,18.533,1426,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 4.0 MW (tip 185 m)
S4_landscape,T185_NREL4,model,derived,5.079,852.17,4328.0,3251.0,0.3711,0.3692,14.071,1082,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 4.0 MW (tip 185 m)
S5_risk,T185_NREL4,model,derived,5.079,812.6,4127.0,3252.0,0.3712,0.3693,13.421,1032,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 4.0 MW (tip 185 m)
S0_pypsa_eur,T185_NREL4,model,pypsa_eur,3.0,3597.1,10791.0,3228.0,0.3685,0.3664,34.838,2698,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 4.0 MW (tip 185 m)
S1_zoning,T185_NREL4,model,pypsa_eur,3.0,7121.79,21365.0,3256.0,0.3717,0.3702,69.563,5341,+ plan de secteur zoning (CoDT),NREL 2020ATB 4.0 MW (tip 185 m)
S2_setbacks,T185_NREL4,model,pypsa_eur,3.0,1309.4,3928.0,3242.0,0.3701,0.3683,12.737,982,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 4.0 MW (tip 185 m)
S3_nature,T185_NREL4,model,pypsa_eur,3.0,1122.89,3369.0,3250.0,0.371,0.3693,10.947,842,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 4.0 MW (tip 185 m)
S4_landscape,T185_NREL4,model,pypsa_eur,3.0,852.17,2557.0,3251.0,0.3711,0.3692,8.311,639,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 4.0 MW (tip 185 m)
S5_risk,T185_NREL4,model,pypsa_eur,3.0,812.6,2438.0,3252.0,0.3712,0.3693,7.927,609,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 4.0 MW (tip 185 m)
S0_pypsa_eur,T208_NREL55,model,dense,8.0,3597.1,28777.0,3301.0,0.3768,0.3747,94.99,5232,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 5.5 MW (tip 208 m)
S1_zoning,T208_NREL55,model,dense,8.0,7121.79,56974.0,3329.0,0.38,0.3786,189.649,10359,+ plan de secteur zoning (CoDT),NREL 2020ATB 5.5 MW (tip 208 m)
S2_setbacks,T208_NREL55,model,dense,8.0,1255.88,10047.0,3315.0,0.3784,0.3767,33.308,1827,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 5.5 MW (tip 208 m)
S3_nature,T208_NREL55,model,dense,8.0,1073.16,8585.0,3322.0,0.3793,0.3776,28.524,1561,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 5.5 MW (tip 208 m)
S4_landscape,T208_NREL55,model,dense,8.0,813.05,6504.0,3324.0,0.3794,0.3776,21.62,1183,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 5.5 MW (tip 208 m)
S5_risk,T208_NREL55,model,dense,8.0,775.52,6204.0,3325.0,0.3795,0.3777,20.628,1128,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 5.5 MW (tip 208 m)
S0_pypsa_eur,T208_NREL55,model,derived,5.131,3597.1,18457.0,3301.0,0.3768,0.3747,60.924,3356,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 5.5 MW (tip 208 m)
S1_zoning,T208_NREL55,model,derived,5.131,7121.79,36542.0,3329.0,0.38,0.3786,121.636,6644,+ plan de secteur zoning (CoDT),NREL 2020ATB 5.5 MW (tip 208 m)
S2_setbacks,T208_NREL55,model,derived,5.131,1255.88,6444.0,3315.0,0.3784,0.3767,21.363,1172,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 5.5 MW (tip 208 m)
S3_nature,T208_NREL55,model,derived,5.131,1073.16,5506.0,3322.0,0.3793,0.3776,18.294,1001,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 5.5 MW (tip 208 m)
S4_landscape,T208_NREL55,model,derived,5.131,813.05,4172.0,3324.0,0.3794,0.3776,13.867,759,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 5.5 MW (tip 208 m)
S5_risk,T208_NREL55,model,derived,5.131,775.52,3979.0,3325.0,0.3795,0.3777,13.23,723,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 5.5 MW (tip 208 m)
S0_pypsa_eur,T208_NREL55,model,pypsa_eur,3.0,3597.1,10791.0,3301.0,0.3768,0.3747,35.621,1962,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 5.5 MW (tip 208 m)
S1_zoning,T208_NREL55,model,pypsa_eur,3.0,7121.79,21365.0,3329.0,0.38,0.3786,71.118,3885,+ plan de secteur zoning (CoDT),NREL 2020ATB 5.5 MW (tip 208 m)
S2_setbacks,T208_NREL55,model,pypsa_eur,3.0,1255.88,3768.0,3315.0,0.3784,0.3767,12.49,685,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 5.5 MW (tip 208 m)
S3_nature,T208_NREL55,model,pypsa_eur,3.0,1073.16,3219.0,3322.0,0.3793,0.3776,10.696,585,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 5.5 MW (tip 208 m)
S4_landscape,T208_NREL55,model,pypsa_eur,3.0,813.05,2439.0,3324.0,0.3794,0.3776,8.108,443,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 5.5 MW (tip 208 m)
S5_risk,T208_NREL55,model,pypsa_eur,3.0,775.52,2327.0,3325.0,0.3795,0.3777,7.735,423,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 5.5 MW (tip 208 m)
